date,dte,pe_strike,ce_strike,entry_premium,exit_premium,exit_reason,pnl,entry_index,exit_index,entry_time,exit_time,stoploss_price,target_price,param_set_rank,filename,week_number,source_file
2025-09-04,3DTE,24850,24850,221.2,206.55,Time Exit,732.4999999999989,24873.75,24748.05,09:20:00,15:20:00,409.22,55.3,7,nifty_options_20250909.csv,37,detailed_trades_rank_7_20260202_180056.csv
2025-09-05,2DTE,24800,24800,172.1,164.65,Time Exit,372.4999999999994,24791.8,24745.8,09:20:00,15:20:00,318.385,43.025,7,nifty_options_20250909.csv,37,detailed_trades_rank_7_20260202_180056.csv
2025-09-08,1DTE,24750,24750,142.6,126.0,Time Exit,829.9999999999998,24766.9,24787.0,09:20:00,15:20:00,263.81,35.65,7,nifty_options_20250909.csv,37,detailed_trades_rank_7_20260202_180056.csv
2025-09-09,ODTE,24850,24850,90.65,17.7,Profit Target,3647.5,24850.75,24860.15,09:20:00,14:55:00,167.7025,22.6625,7,nifty_options_20250909.csv,37,detailed_trades_rank_7_20260202_180056.csv
2025-09-10,4DTE,24950,24950,238.85,229.15,Time Exit,485.00000000000085,24966.1,24981.65,09:20:00,15:20:00,441.8725,59.7125,7,nifty_options_20250916.csv,38,detailed_trades_rank_7_20260202_180056.csv
2025-09-11,3DTE,25000,25000,207.3,190.65,Time Exit,832.5000000000002,25003.2,25002.8,09:20:00,15:20:00,383.50500000000005,51.825,7,nifty_options_20250916.csv,38,detailed_trades_rank_7_20260202_180056.csv
2025-09-12,2DTE,25050,25050,166.45,166.60000000000002,Time Exit,-7.500000000001705,25046.75,25110.5,09:20:00,15:20:00,307.9325,41.6125,7,nifty_options_20250916.csv,38,detailed_trades_rank_7_20260202_180056.csv
2025-09-15,1DTE,25100,25100,122.4,90.9,Time Exit,1575.0,25097.75,25065.7,09:20:00,15:20:00,226.44000000000003,30.6,7,nifty_options_20250916.csv,38,detailed_trades_rank_7_20260202_180056.csv
2025-09-16,ODTE,25100,25100,79.8,139.04999999999998,Time Exit,-2962.499999999999,25116.9,25254.65,09:20:00,15:20:00,147.63,19.95,7,nifty_options_20250916.csv,38,detailed_trades_rank_7_20260202_180056.csv
2025-09-17,4DTE,25300,25300,230.45,228.7,Time Exit,87.5,25320.4,25325.55,09:20:00,15:20:00,426.3325,57.6125,7,nifty_options_20250923.csv,39,detailed_trades_rank_7_20260202_180056.csv
2025-09-18,3DTE,25450,25450,176.39999999999998,160.45,Time Exit,797.4999999999994,25427.65,25429.6,09:20:00,15:20:00,326.34,44.1,7,nifty_options_20250923.csv,39,detailed_trades_rank_7_20260202_180056.csv
2025-09-19,2DTE,25350,25350,150.25,135.85,Time Exit,720.0000000000002,25362.85,25332.35,09:20:00,15:20:00,277.96250000000003,37.5625,7,nifty_options_20250923.csv,39,detailed_trades_rank_7_20260202_180056.csv
2025-09-22,1DTE,25300,25300,119.45,117.8,Time Exit,82.49999999999886,25276.55,25209.5,09:20:00,15:20:00,220.9825,29.8625,7,nifty_options_20250923.csv,39,detailed_trades_rank_7_20260202_180056.csv
2025-09-23,ODTE,25200,25200,78.2,30.85,Time Exit,2367.5,25210.0,25166.75,09:20:00,15:20:00,144.67000000000002,19.55,7,nifty_options_20250923.csv,39,detailed_trades_rank_7_20260202_180056.csv
2025-09-24,4DTE,25100,25100,238.2,210.85,Time Exit,1367.4999999999982,25083.95,25066.35,09:20:00,15:20:00,440.67,59.55,7,nifty_options_20250930.csv,40,detailed_trades_rank_7_20260202_180056.csv
2025-09-25,3DTE,25100,25100,198.8,222.65,Time Exit,-1192.4999999999998,25081.2,24887.55,09:20:00,15:20:00,367.78,49.7,7,nifty_options_20250930.csv,40,detailed_trades_rank_7_20260202_180056.csv
2025-09-26,2DTE,24800,24800,191.45,211.35,EOD Exit,-994.9999999999987,24813.35,24654.15,09:20:00,15:00:00,354.18250000000006,47.8625,7,nifty_options_20250930.csv,40,detailed_trades_rank_7_20260202_180056.csv
2025-09-30,ODTE,24700,24700,104.5,88.7,Time Exit,789.9999999999999,24706.6,24611.85,09:20:00,15:20:00,193.325,26.125,7,nifty_options_20250930.csv,40,detailed_trades_rank_7_20260202_180056.csv
2025-10-01,4DTE,24650,24650,241.85,283.65,Time Exit,-2089.999999999999,24637.95,24841.95,09:20:00,15:20:00,447.4225,60.4625,7,nifty_options_20251007.csv,41,detailed_trades_rank_7_20260202_180056.csv
2025-10-03,2DTE,24800,24800,173.3,179.7,Time Exit,-319.99999999999886,24784.5,24896.0,09:20:00,15:20:00,320.605,43.325,7,nifty_options_20251007.csv,41,detailed_trades_rank_7_20260202_180056.csv
2025-10-06,1DTE,24900,24900,120.4,232.3,Stoploss,-5595.0,24918.0,25079.55,09:20:00,13:30:00,222.74,30.1,7,nifty_options_20251007.csv,41,detailed_trades_rank_7_20260202_180056.csv
2025-10-07,ODTE,25100,25100,91.5,16.0,Profit Target,3775.0,25111.15,25111.25,09:20:00,15:05:00,169.275,22.875,7,nifty_options_20251007.csv,41,detailed_trades_rank_7_20260202_180056.csv
2025-10-08,4DTE,25150,25150,228.95,212.2,Time Exit,837.5000000000014,25174.7,25037.9,09:20:00,15:20:00,423.55750000000006,57.2375,7,nifty_options_20251014.csv,42,detailed_trades_rank_7_20260202_180056.csv
2025-10-09,3DTE,25100,25100,201.95,196.85,Time Exit,254.9999999999997,25105.15,25181.95,09:20:00,15:20:00,373.6075,50.4875,7,nifty_options_20251014.csv,42,detailed_trades_rank_7_20260202_180056.csv
